date,value
8-Nov-15,"26,713"
30-May-16,"26,718"
3-Mar-16,"26,725"
27-Dec-15,"26,726"
19-Oct-15,"26,730"
25-Feb-16,"26,731"
6-Jan-16,"26,734"
14-Jan-16,"26,734"
12-Feb-16,"26,737"
30-Apr-16,"26,742"
10-Mar-16,"26,745"
27-Sep-15,"26,747"
28-Jan-16,"26,747"
24-Sep-16,"26,750"
12-Nov-15,"26,752"
29-Aug-15,"26,754"
18-Sep-15,"26,755"
6-Sep-16,"26,755"
28-Sep-15,"26,759"
9-Mar-16,"26,760"
5-Mar-16,"26,763"
24-Jun-16,"26,767"
14-Mar-16,"26,768"
30-Nov-15,"26,769"
31-Jul-16,"26,769"
10-Jan-16,"26,774"
20-Sep-16,"26,774"
13-Jun-16,"26,776"
11-Nov-16,"26,778"
30-Jan-16,"26,782"
16-Apr-17,"26,783"
26-Sep-16,"26,785"
6-Nov-15,"26,789"
18-Mar-16,"26,790"
26-Mar-16,"26,790"
18-Sep-17,"26,793"
30-Mar-16,"26,795"
11-Sep-16,"26,801"
9-Jan-16,"26,802"
21-Apr-16,"26,803"
13-Oct-15,"26,804"
26-Oct-15,"26,806"
30-Dec-15,"26,806"
9-Dec-17,"26,807"
9-Nov-15,"26,808"
20-Nov-15,"26,809"
23-Oct-17,"26,809"
27-Apr-16,"26,811"
15-Jan-16,"26,812"
9-Oct-16,"26,813"
17-Aug-16,"26,815"
2-Feb-16,"26,820"
19-Feb-17,"26,822"
21-Jun-16,"26,825"
14-Dec-15,"26,828"
26-Apr-16,"26,828"
17-Jan-16,"26,830"
31-Mar-16,"26,830"
16-Jan-16,"26,832"
15-Mar-16,"26,832"
12-Mar-17,"26,832"
22-Mar-16,"26,834"
19-Oct-16,"26,834"
16-Apr-16,"26,840"
21-Jul-16,"26,841"
6-May-16,"26,844"
17-Feb-17,"26,846"
28-May-16,"26,848"
17-Jun-16,"26,849"
15-Feb-16,"26,850"
6-Jul-16,"26,851"
15-Aug-16,"26,854"
22-Feb-16,"26,864"
2-Jun-16,"26,871"
3-Nov-15,"26,875"
12-Jan-16,"26,876"
18-Nov-15,"26,877"
19-May-16,"26,877"
9-May-17,"26,886"
10-Oct-15,"26,887"
23-Apr-16,"26,888"
1-Dec-15,"26,890"
4-Dec-15,"26,891"
23-Feb-16,"26,891"
26-Feb-16,"26,891"
5-May-16,"26,891"
29-Oct-16,"26,895"
27-Feb-16,"26,896"
14-Apr-16,"26,898"
29-Nov-15,"26,901"
23-Jan-17,"26,903"
7-Oct-15,"26,904"
13-Mar-16,"26,904"
24-Mar-16,"26,907"
17-Oct-15,"26,909"
20-Mar-16,"26,913"
5-Dec-15,"26,916"
10-May-16,"26,916"
18-Oct-15,"26,919"
7-Feb-16,"26,920"
12-Jul-16,"26,922"
24-Feb-16,"26,924"
5-Dec-16,"26,927"
22-Nov-15,"26,928"
14-Jan-17,"26,929"
20-Mar-17,"26,929"
10-Apr-16,"26,930"
2-Jan-16,"26,935"
19-Jul-16,"26,937"
23-Dec-15,"26,939"
29-Apr-16,"26,941"
6-Nov-16,"26,943"
28-Apr-16,"26,944"
10-Dec-15,"26,945"
29-Jan-16,"26,946"
23-Feb-17,"26,949"
26-Jul-16,"26,950"
30-Dec-16,"26,951"
1-Apr-16,"26,953"
2-Aug-16,"26,953"
16-Nov-16,"26,953"
4-May-16,"26,954"
4-Aug-15,"26,959"
18-Nov-17,"26,960"
19-Sep-16,"26,965"
27-Nov-16,"26,968"
31-Jan-17,"26,968"
19-Aug-16,"26,973"
10-Jan-17,"26,973"
19-Jan-17,"26,973"
13-Aug-16,"26,974"
23-May-16,"26,975"
12-Dec-15,"26,977"
7-Mar-16,"26,978"
4-Feb-16,"26,979"
16-Jul-16,"26,980"
1-Oct-17,"26,981"
2-Mar-16,"26,982"
6-Dec-15,"26,983"
29-May-17,"26,983"
5-Aug-16,"26,986"
31-May-16,"26,990"
19-Dec-15,"26,991"
14-Feb-16,"26,992"
1-Apr-17,"26,996"
7-Jul-16,"26,999"
4-Jan-16,"27,002"
12-May-16,"27,003"
27-Jun-17,"27,003"
6-Jun-16,"27,004"
25-Jul-16,"27,007"
15-Dec-15,"27,009"
2-Nov-15,"27,011"
24-Jul-16,"27,013"
24-Jan-16,"27,015"
16-Aug-16,"27,016"
13-Nov-16,"27,016"
17-Nov-15,"27,017"
20-Feb-16,"27,017"
25-Apr-16,"27,018"
18-Aug-16,"27,018"
3-May-16,"27,020"
29-Sep-16,"27,020"
8-Jan-17,"27,020"
9-Feb-16,"27,021"
30-Apr-17,"27,022"
12-Mar-16,"27,023"
5-Jan-16,"27,026"
9-May-16,"27,026"
6-Mar-16,"27,028"
24-Nov-15,"27,032"
19-Jun-16,"27,032"
31-Jan-16,"27,034"
8-Nov-17,"27,034"
12-Jan-17,"27,035"
13-Apr-16,"27,036"
3-Jun-16,"27,036"
12-Oct-16,"27,038"
10-Oct-17,"27,040"
18-Jun-17,"27,044"
20-May-16,"27,046"
28-Feb-16,"27,048"
17-Feb-16,"27,049"
29-Mar-16,"27,050"
30-Jun-16,"27,050"
16-Dec-16,"27,050"
21-Jan-17,"27,050"
30-Sep-17,"27,050"
24-Jun-17,"27,051"
23-Mar-16,"27,053"
22-Oct-16,"27,053"
4-Oct-16,"27,056"
4-Dec-16,"27,056"
27-May-17,"27,056"
9-Aug-17,"27,058"
27-Aug-16,"27,060"
7-Dec-15,"27,062"
2-Dec-16,"27,062"
2-Jul-17,"27,063"
24-Apr-17,"27,064"
6-Apr-17,"27,065"
9-Jun-16,"27,066"
19-Dec-16,"27,067"
1-Dec-16,"27,070"
14-Nov-16,"27,074"
19-Feb-16,"27,075"
1-Jan-16,"27,077"
14-Jul-16,"27,077"
7-Mar-17,"27,080"
21-May-16,"27,081"
8-May-16,"27,082"
23-Jun-16,"27,086"
13-Feb-17,"27,086"
9-Jul-16,"27,087"
9-Mar-17,"27,087"
15-Apr-16,"27,088"
17-Nov-16,"27,088"
18-Nov-16,"27,090"
20-Jul-16,"27,092"
6-Sep-17,"27,093"
31-Dec-15,"27,094"
10-Jul-16,"27,094"
2-Sep-16,"27,094"
1-Sep-16,"27,097"
25-Dec-15,"27,102"
31-Aug-16,"27,102"
7-May-16,"27,104"
16-Sep-16,"27,105"
29-May-16,"27,108"
